               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020452,            0.011456,           0.0016528,             0.82164,             0.90421,             0.89086,             0.65062,            0.026354,           0.0086816,           0.0039887,            0.006535,            0.006535,            0.006535
                  37,            0.020289,            0.011486,           0.0016377,             0.87025,             0.84827,              0.8947,             0.65455,            0.026576,           0.0087123,           0.0041441,            0.006436,            0.006436,            0.006436
                  38,            0.020181,             0.01127,           0.0017238,             0.85544,             0.83725,             0.88179,             0.63347,            0.026657,           0.0089035,            0.004503,            0.006337,            0.006337,            0.006337
                  39,            0.020038,            0.011302,           0.0015528,             0.84194,              0.8818,              0.8842,             0.64885,            0.026525,            0.008754,           0.0053157,            0.006238,            0.006238,            0.006238
                  40,             0.01999,            0.010775,           0.0013149,             0.83905,             0.88015,             0.89179,             0.65663,            0.027371,           0.0088729,           0.0044806,            0.006139,            0.006139,            0.006139
                  41,            0.019601,            0.011095,           0.0013062,             0.85026,             0.87992,             0.89064,             0.65228,            0.026962,           0.0088425,           0.0041136,             0.00604,             0.00604,             0.00604
                  42,            0.019681,            0.011111,            0.001406,             0.82316,             0.84681,             0.87237,             0.63892,            0.026325,           0.0087898,           0.0046832,            0.005941,            0.005941,            0.005941
                  43,            0.019567,            0.010859,           0.0014287,              0.8447,             0.86522,              0.8874,             0.64862,            0.026839,           0.0089378,            0.005042,            0.005842,            0.005842,            0.005842
                  44,            0.019282,            0.010984,           0.0013445,             0.82878,               0.894,             0.90088,              0.6554,             0.02674,           0.0090186,           0.0042976,            0.005743,            0.005743,            0.005743
                  45,            0.019204,            0.010856,           0.0013511,             0.81553,             0.80135,             0.84985,             0.61893,            0.027554,           0.0092253,           0.0053962,            0.005644,            0.005644,            0.005644
                  46,            0.018979,            0.010457,           0.0012253,             0.82534,             0.84636,              0.8697,             0.63351,            0.026795,           0.0089359,           0.0050879,            0.005545,            0.005545,            0.005545
                  47,            0.019023,            0.010672,           0.0013835,             0.83325,             0.80722,             0.85276,             0.61132,            0.027377,           0.0092959,           0.0053884,            0.005446,            0.005446,            0.005446
                  48,            0.018854,            0.010713,           0.0012881,             0.85947,             0.82624,             0.88462,             0.64996,            0.026988,           0.0089806,            0.005365,            0.005347,            0.005347,            0.005347
                  49,            0.018715,            0.010683,           0.0011913,             0.80122,             0.85045,             0.85112,             0.62407,            0.027426,           0.0090464,           0.0055978,            0.005248,            0.005248,            0.005248
                  50,            0.018671,            0.010494,           0.0010666,             0.78978,             0.83146,             0.84419,             0.61114,            0.027006,           0.0090462,           0.0057311,            0.005149,            0.005149,            0.005149
                  51,            0.018698,            0.010409,           0.0011361,             0.85385,             0.84539,             0.87983,             0.64655,            0.026466,           0.0091321,           0.0054232,             0.00505,             0.00505,             0.00505
                  52,            0.018375,            0.010487,           0.0010999,             0.85627,             0.86021,             0.87797,             0.64624,            0.026874,           0.0091696,           0.0051332,            0.004951,            0.004951,            0.004951
                  53,            0.018601,            0.010561,           0.0011562,             0.83939,             0.84341,             0.88433,             0.65183,            0.026585,            0.008974,           0.0056177,            0.004852,            0.004852,            0.004852
                  54,            0.018131,             0.01029,           0.0010133,             0.84767,             0.85789,             0.87642,             0.64148,            0.026897,           0.0090407,           0.0052111,            0.004753,            0.004753,            0.004753
                  55,            0.018173,            0.010588,           0.0011027,             0.84467,              0.8429,             0.89419,             0.65772,            0.026799,           0.0090641,            0.005164,            0.004654,            0.004654,            0.004654
                  56,             0.01791,            0.010378,           0.0010491,             0.88678,             0.85519,              0.9131,             0.67687,            0.026799,           0.0090582,           0.0036594,            0.004555,            0.004555,            0.004555
                  57,            0.018079,            0.010411,           0.0013626,             0.81358,             0.85827,             0.86194,             0.63179,            0.026885,           0.0092298,           0.0057917,            0.004456,            0.004456,            0.004456
                  58,            0.017969,            0.010464,           0.0010071,             0.84201,             0.84285,             0.88101,             0.64883,            0.026924,           0.0091688,           0.0051397,            0.004357,            0.004357,            0.004357
                  59,            0.017647,             0.01012,          0.00099284,             0.85023,             0.86104,             0.87605,             0.64949,            0.026813,           0.0092154,           0.0052651,            0.004258,            0.004258,            0.004258
                  60,            0.017463,           0.0099394,          0.00095848,              0.8232,             0.81883,             0.86137,             0.63652,             0.02691,           0.0092079,           0.0063242,            0.004159,            0.004159,            0.004159
                  61,            0.017494,            0.010158,          0.00099698,             0.82027,             0.82486,             0.85824,             0.63054,            0.027124,           0.0092209,           0.0060443,             0.00406,             0.00406,             0.00406
                  62,            0.017314,            0.010042,           0.0010612,             0.77462,             0.87696,             0.85722,             0.62635,            0.027203,           0.0092271,           0.0058539,            0.003961,            0.003961,            0.003961
                  63,            0.017466,            0.010096,          0.00081675,             0.79927,             0.85025,             0.87795,             0.64574,            0.027383,           0.0093298,           0.0061206,            0.003862,            0.003862,            0.003862
                  64,            0.017168,           0.0098865,          0.00081354,             0.85975,             0.85711,              0.8996,             0.66486,            0.027091,           0.0093006,           0.0048809,            0.003763,            0.003763,            0.003763
                  65,            0.017121,            0.010098,          0.00083954,             0.85832,             0.81926,             0.88282,              0.6535,             0.02688,           0.0091309,            0.005488,            0.003664,            0.003664,            0.003664
                  66,             0.01665,           0.0094755,          0.00075417,             0.79502,             0.87733,             0.86507,             0.63103,            0.027153,           0.0093557,           0.0060177,            0.003565,            0.003565,            0.003565
                  67,            0.016841,           0.0096183,          0.00071493,              0.8306,             0.85777,             0.87454,             0.64677,            0.026816,           0.0091774,           0.0058219,            0.003466,            0.003466,            0.003466
                  68,            0.016728,           0.0096447,          0.00072294,             0.82099,             0.89602,             0.88592,             0.65496,            0.026859,           0.0091167,           0.0052659,            0.003367,            0.003367,            0.003367
                  69,            0.016528,           0.0095129,          0.00079722,             0.83113,             0.88062,             0.88539,             0.65126,            0.027002,           0.0092906,           0.0052995,            0.003268,            0.003268,            0.003268
                  70,            0.016303,           0.0097197,          0.00071388,             0.83955,             0.85244,             0.86957,             0.63997,            0.027235,           0.0093409,           0.0059468,            0.003169,            0.003169,            0.003169
                  71,            0.016213,           0.0096567,          0.00070223,             0.84584,             0.76382,             0.84952,             0.61735,            0.027071,           0.0095702,            0.006466,             0.00307,             0.00307,             0.00307
                  72,            0.016339,           0.0095067,          0.00079831,             0.81039,             0.79016,             0.83251,             0.60079,            0.027193,           0.0094873,            0.006754,            0.002971,            0.002971,            0.002971
                  73,            0.016155,           0.0091914,          0.00069205,             0.81983,             0.85048,             0.85737,             0.62985,            0.027077,           0.0094249,            0.006589,            0.002872,            0.002872,            0.002872
                  74,            0.015964,           0.0091072,          0.00062367,             0.82906,             0.87506,             0.87671,             0.64954,            0.027009,           0.0094844,           0.0065042,            0.002773,            0.002773,            0.002773
                  75,            0.016142,           0.0094913,           0.0005937,             0.83697,             0.87482,             0.87479,             0.64432,            0.027311,           0.0095648,           0.0059246,            0.002674,            0.002674,            0.002674
                  76,            0.015787,           0.0093679,          0.00066634,             0.82142,             0.86833,             0.86931,              0.6412,            0.027182,           0.0095054,           0.0066872,            0.002575,            0.002575,            0.002575
                  77,            0.015816,           0.0091761,          0.00056799,             0.83765,              0.8702,             0.87155,             0.64353,            0.027487,           0.0096463,           0.0060977,            0.002476,            0.002476,            0.002476
                  78,            0.015606,            0.009227,          0.00058446,             0.83091,             0.85204,             0.87227,             0.64373,            0.027558,           0.0096788,           0.0064977,            0.002377,            0.002377,            0.002377
                  79,            0.015635,           0.0093122,          0.00053363,             0.84427,             0.83933,             0.88217,              0.6513,            0.027329,           0.0094827,            0.006282,            0.002278,            0.002278,            0.002278
                  80,            0.015499,           0.0093545,          0.00056727,             0.83929,              0.8438,             0.87319,             0.64485,            0.027273,           0.0095609,            0.006285,            0.002179,            0.002179,            0.002179
                  81,            0.015472,           0.0092481,          0.00051948,             0.85396,             0.86862,             0.88362,              0.6549,            0.027368,           0.0095378,           0.0057892,             0.00208,             0.00208,             0.00208
                  82,            0.015428,           0.0091293,          0.00054238,             0.83095,             0.88308,             0.88044,             0.65068,            0.027573,           0.0096216,           0.0061565,            0.001981,            0.001981,            0.001981
                  83,            0.015447,           0.0090243,          0.00059117,              0.8013,             0.86995,             0.86013,             0.63501,            0.027294,           0.0096183,           0.0070154,            0.001882,            0.001882,            0.001882
                  84,            0.015393,           0.0090957,          0.00052105,             0.85009,             0.87047,             0.87822,             0.65086,            0.027512,           0.0097333,           0.0058072,            0.001783,            0.001783,            0.001783
                  85,            0.015076,           0.0087153,          0.00051115,             0.84534,             0.87412,             0.87871,             0.64642,            0.027613,           0.0097448,           0.0057766,            0.001684,            0.001684,            0.001684
                  86,            0.015065,           0.0089212,          0.00047579,             0.83524,              0.8821,             0.88029,             0.65325,            0.027527,            0.009704,           0.0057021,            0.001585,            0.001585,            0.001585
                  87,            0.014938,           0.0087433,          0.00055336,             0.84596,             0.84033,             0.87448,             0.64744,            0.027823,           0.0098806,           0.0064722,            0.001486,            0.001486,            0.001486
