               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019507,            0.056331,            0.002235,             0.87149,             0.87145,             0.89551,             0.66559,            0.025501,            0.048839,           0.0056937,            0.006535,            0.006535,            0.006535
                  37,            0.019152,            0.055617,           0.0020669,             0.87218,             0.82653,             0.89575,             0.67738,            0.025207,            0.048723,           0.0057157,            0.006436,            0.006436,            0.006436
                  38,            0.019159,            0.054206,           0.0020661,              0.8584,             0.81715,             0.86166,             0.65098,            0.025453,            0.048731,           0.0063805,            0.006337,            0.006337,            0.006337
                  39,            0.019143,            0.054839,            0.001948,             0.85766,             0.83886,             0.87595,             0.65165,            0.026049,            0.049972,           0.0056082,            0.006238,            0.006238,            0.006238
                  40,             0.01884,             0.05468,           0.0018862,             0.80063,             0.78355,             0.83931,             0.63203,            0.025689,            0.049802,           0.0070412,            0.006139,            0.006139,            0.006139
                  41,            0.018629,            0.053365,           0.0019978,             0.83917,             0.86777,             0.90468,             0.68121,              0.0256,             0.04902,           0.0041634,             0.00604,             0.00604,             0.00604
                  42,            0.018688,            0.053256,           0.0019655,             0.80239,              0.7765,             0.82442,             0.62088,            0.025881,            0.049792,           0.0077566,            0.005941,            0.005941,            0.005941
                  43,            0.018345,            0.052627,           0.0019438,             0.87971,             0.84619,             0.90009,             0.68466,            0.025704,            0.050696,           0.0050101,            0.005842,            0.005842,            0.005842
                  44,            0.018574,            0.053281,           0.0019057,             0.89193,             0.82472,             0.90766,             0.68142,            0.025901,            0.050713,           0.0056545,            0.005743,            0.005743,            0.005743
                  45,            0.018258,            0.053052,           0.0016676,             0.88233,             0.84102,             0.88928,             0.67197,            0.025812,             0.05022,           0.0048321,            0.005644,            0.005644,            0.005644
                  46,             0.01819,            0.052495,           0.0017223,             0.83945,             0.82464,             0.88034,             0.66246,            0.025836,            0.050968,           0.0057266,            0.005545,            0.005545,            0.005545
                  47,            0.017988,            0.052285,           0.0017606,             0.83492,             0.82646,             0.88161,             0.66312,            0.025603,            0.050842,           0.0063967,            0.005446,            0.005446,            0.005446
                  48,            0.017827,            0.052973,           0.0015871,             0.78441,             0.87197,             0.87265,             0.65587,            0.025965,            0.051574,           0.0062912,            0.005347,            0.005347,            0.005347
                  49,            0.017775,            0.052156,           0.0015671,             0.86151,              0.8295,             0.89355,             0.67856,             0.02577,            0.051865,            0.006082,            0.005248,            0.005248,            0.005248
                  50,            0.017652,            0.051525,           0.0017854,             0.68099,             0.93393,             0.84318,             0.63309,            0.025615,            0.049997,           0.0074983,            0.005149,            0.005149,            0.005149
                  51,            0.017818,            0.051479,           0.0016283,             0.86512,             0.87263,             0.89617,             0.68137,            0.025605,             0.04931,           0.0056777,             0.00505,             0.00505,             0.00505
                  52,            0.017218,            0.051463,           0.0015454,             0.85854,             0.84301,             0.88445,             0.66863,            0.025962,             0.05179,           0.0057646,            0.004951,            0.004951,            0.004951
                  53,            0.017169,            0.050507,            0.001569,             0.85165,             0.87856,             0.88815,              0.6737,            0.025671,            0.050553,           0.0050331,            0.004852,            0.004852,            0.004852
                  54,            0.017246,            0.050118,           0.0014409,             0.85473,             0.86651,             0.89127,             0.67599,            0.025709,            0.051233,           0.0056119,            0.004753,            0.004753,            0.004753
                  55,            0.017231,            0.050402,           0.0013712,             0.83423,              0.8624,             0.89344,               0.676,             0.02547,            0.050227,           0.0056604,            0.004654,            0.004654,            0.004654
                  56,            0.017008,            0.049754,           0.0013632,               0.835,             0.88763,             0.88207,             0.66422,            0.025465,            0.051542,            0.006128,            0.004555,            0.004555,            0.004555
                  57,            0.016849,            0.050046,           0.0013796,             0.82827,             0.81889,             0.86817,             0.65991,            0.025566,            0.050303,            0.007365,            0.004456,            0.004456,            0.004456
                  58,            0.016731,            0.049118,           0.0014871,             0.85179,             0.85861,             0.87687,             0.67555,            0.025825,            0.054307,           0.0065579,            0.004357,            0.004357,            0.004357
                  59,            0.016776,            0.049381,           0.0012771,             0.86236,             0.83102,             0.88251,              0.6798,            0.025698,            0.052778,           0.0070351,            0.004258,            0.004258,            0.004258
                  60,            0.016631,            0.049733,           0.0012453,             0.82345,             0.87968,             0.86492,             0.65607,             0.02567,            0.051558,            0.007297,            0.004159,            0.004159,            0.004159
                  61,            0.016451,            0.049105,           0.0014746,             0.89597,             0.83955,             0.88978,             0.67668,            0.025984,             0.05314,            0.005366,             0.00406,             0.00406,             0.00406
                  62,            0.016386,            0.048523,           0.0012503,             0.87653,             0.80868,              0.8781,              0.6644,             0.02564,            0.051663,           0.0064186,            0.003961,            0.003961,            0.003961
                  63,            0.016296,            0.048488,           0.0012053,             0.86163,             0.84503,              0.8889,             0.67857,            0.025622,            0.052825,           0.0065885,            0.003862,            0.003862,            0.003862
                  64,             0.01627,            0.047973,           0.0012749,             0.85468,             0.82205,             0.87902,             0.66864,            0.025515,            0.052738,           0.0077212,            0.003763,            0.003763,            0.003763
                  65,            0.016148,            0.047549,           0.0011656,             0.85419,             0.84953,             0.90111,             0.68782,            0.025789,             0.05266,           0.0064763,            0.003664,            0.003664,            0.003664
                  66,            0.016128,            0.047834,           0.0011307,             0.84282,             0.86211,              0.8925,             0.67787,            0.025941,            0.053437,           0.0067564,            0.003565,            0.003565,            0.003565
                  67,            0.015923,            0.047484,           0.0010786,             0.78662,             0.83821,             0.84054,             0.64008,            0.025619,              0.0526,           0.0080552,            0.003466,            0.003466,            0.003466
                  68,            0.015768,            0.047074,           0.0010681,             0.80359,             0.87326,             0.86354,             0.65174,            0.026047,            0.054672,           0.0073036,            0.003367,            0.003367,            0.003367
                  69,            0.015878,            0.046752,           0.0010545,             0.84351,             0.83204,             0.86144,             0.65399,            0.025583,            0.051659,           0.0075076,            0.003268,            0.003268,            0.003268
