               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019045,            0.055403,           0.0020815,             0.83943,              0.8506,             0.87547,             0.66123,             0.02578,            0.049578,           0.0064128,            0.006535,            0.006535,            0.006535
                  37,            0.019247,            0.054958,           0.0020955,             0.83861,             0.85594,                0.89,             0.67834,            0.025079,            0.047683,            0.004932,            0.006436,            0.006436,            0.006436
                  38,            0.018974,            0.054871,            0.002121,             0.85558,             0.77623,              0.8623,             0.65336,            0.026233,            0.051557,           0.0058431,            0.006337,            0.006337,            0.006337
                  39,            0.018731,            0.053755,           0.0020456,               0.878,             0.80883,             0.87564,             0.66058,            0.025988,            0.049507,           0.0052627,            0.006238,            0.006238,            0.006238
                  40,            0.018754,            0.053671,           0.0017643,             0.87238,             0.81315,             0.87568,             0.65832,            0.026102,             0.05165,           0.0053118,            0.006139,            0.006139,            0.006139
                  41,            0.018596,             0.05396,           0.0018974,             0.82492,             0.81539,             0.86178,             0.64818,            0.025787,            0.049458,           0.0062826,             0.00604,             0.00604,             0.00604
                  42,            0.018343,            0.053057,           0.0018832,             0.85534,             0.73272,             0.84341,             0.63814,            0.025783,            0.050682,           0.0069833,            0.005941,            0.005941,            0.005941
                  43,             0.01841,            0.053688,           0.0019954,             0.89542,             0.85028,             0.89808,              0.6818,            0.025727,            0.049603,            0.005142,            0.005842,            0.005842,            0.005842
                  44,            0.018054,            0.052412,           0.0017329,             0.84837,             0.82111,             0.87493,             0.66194,             0.02522,            0.049024,           0.0057432,            0.005743,            0.005743,            0.005743
                  45,            0.018143,            0.053155,           0.0018983,              0.8364,             0.82478,             0.85973,             0.64762,            0.026005,            0.053035,           0.0070469,            0.005644,            0.005644,            0.005644
                  46,            0.017779,            0.051035,           0.0017031,             0.86686,             0.83146,             0.88847,             0.67298,            0.025369,            0.049844,           0.0064037,            0.005545,            0.005545,            0.005545
                  47,            0.018018,            0.052466,           0.0018283,             0.84097,             0.86796,             0.87692,             0.66828,            0.025086,            0.049934,             0.00613,            0.005446,            0.005446,            0.005446
                  48,            0.017745,            0.051701,            0.001697,             0.84216,             0.87612,             0.87109,             0.66353,            0.025198,            0.048244,           0.0071786,            0.005347,            0.005347,            0.005347
                  49,            0.017531,            0.051286,           0.0015126,             0.84088,             0.86786,             0.86681,             0.65402,            0.025712,            0.051814,           0.0062052,            0.005248,            0.005248,            0.005248
                  50,            0.017458,            0.051489,           0.0015652,              0.8516,             0.88138,             0.88083,              0.6674,            0.025744,             0.05105,           0.0061383,            0.005149,            0.005149,            0.005149
                  51,            0.017366,            0.052351,           0.0014785,             0.84556,             0.84703,             0.88687,             0.67193,            0.025757,            0.052165,            0.005899,             0.00505,             0.00505,             0.00505
                  52,            0.017352,            0.049769,            0.001594,              0.8914,              0.8816,             0.90172,             0.68886,            0.025513,            0.050736,             0.00445,            0.004951,            0.004951,            0.004951
                  53,            0.017064,             0.05018,           0.0016002,             0.86671,             0.79072,             0.88006,             0.66327,            0.025844,            0.052354,           0.0077355,            0.004852,            0.004852,            0.004852
                  54,            0.017158,            0.050274,           0.0014528,             0.85396,             0.81812,             0.87818,             0.66826,            0.026178,            0.052137,            0.005704,            0.004753,            0.004753,            0.004753
                  55,            0.017038,            0.050464,           0.0012924,             0.85918,             0.82669,             0.88216,             0.67217,            0.025386,            0.050566,           0.0065493,            0.004654,            0.004654,            0.004654
                  56,            0.017139,            0.050581,           0.0013077,             0.87007,             0.87332,             0.89871,             0.68357,            0.025401,            0.050748,           0.0054705,            0.004555,            0.004555,            0.004555
                  57,            0.016698,            0.049711,           0.0014773,             0.86052,             0.86713,             0.89723,             0.68204,            0.025576,            0.051409,           0.0063049,            0.004456,            0.004456,            0.004456
