               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020283,            0.057574,           0.0024911,             0.78224,             0.83305,             0.85348,              0.6354,            0.025522,            0.046928,           0.0071483,            0.006535,            0.006535,            0.006535
                  37,            0.020032,             0.05907,            0.002394,             0.85157,             0.82233,             0.86752,             0.65103,            0.025714,            0.049063,           0.0056209,            0.006436,            0.006436,            0.006436
                  38,            0.019961,            0.057239,           0.0023851,             0.85807,             0.80554,              0.8678,             0.64875,            0.025105,             0.04683,           0.0064623,            0.006337,            0.006337,            0.006337
                  39,            0.019789,            0.058152,           0.0024209,             0.84932,             0.82508,             0.87503,             0.65067,            0.025714,            0.049311,           0.0059509,            0.006238,            0.006238,            0.006238
                  40,            0.019992,            0.056444,           0.0024646,             0.75176,              0.8731,             0.85739,             0.63627,             0.02524,             0.04656,           0.0060404,            0.006139,            0.006139,            0.006139
                  41,            0.019591,            0.056839,           0.0022847,             0.85433,             0.82087,             0.88448,             0.65729,             0.02543,            0.047641,           0.0055189,             0.00604,             0.00604,             0.00604
                  42,            0.019587,            0.057428,           0.0022525,             0.80675,              0.8092,             0.85341,             0.62439,            0.025567,            0.047839,           0.0071144,            0.005941,            0.005941,            0.005941
                  43,            0.019545,            0.056699,           0.0021939,             0.82564,              0.8201,             0.86179,             0.64061,            0.025294,            0.046649,           0.0072584,            0.005842,            0.005842,            0.005842
                  44,            0.019093,            0.056531,           0.0020935,             0.84428,             0.83904,             0.86504,             0.64299,            0.025656,            0.048183,           0.0064986,            0.005743,            0.005743,            0.005743
                  45,            0.019487,            0.057065,           0.0021439,             0.87268,             0.87726,             0.89252,              0.6634,            0.025569,            0.049006,           0.0055727,            0.005644,            0.005644,            0.005644
                  46,            0.019334,            0.057732,            0.002097,             0.84515,             0.84247,             0.88382,             0.66335,            0.025539,            0.047996,           0.0055125,            0.005545,            0.005545,            0.005545
                  47,            0.019164,            0.055557,           0.0020735,             0.70834,             0.91992,             0.82689,              0.6098,            0.025567,            0.049023,           0.0082305,            0.005446,            0.005446,            0.005446
                  48,            0.018943,             0.05487,           0.0021206,             0.80216,             0.80628,             0.84233,             0.62049,            0.025477,            0.048248,           0.0065284,            0.005347,            0.005347,            0.005347
                  49,            0.018989,            0.055101,           0.0019904,             0.86175,             0.86334,             0.89094,             0.66666,            0.025199,            0.047332,           0.0053025,            0.005248,            0.005248,            0.005248
                  50,            0.018719,             0.05402,           0.0020509,              0.8069,             0.82552,             0.85064,             0.63142,            0.025409,            0.047589,           0.0068807,            0.005149,            0.005149,            0.005149
                  51,            0.018641,            0.054609,           0.0019985,             0.81317,              0.8366,             0.86572,             0.64228,            0.025252,            0.047864,           0.0064777,             0.00505,             0.00505,             0.00505
                  52,            0.018645,            0.054249,            0.002016,             0.81287,             0.78046,             0.83457,             0.61091,             0.02564,            0.048089,           0.0072866,            0.004951,            0.004951,            0.004951
                  53,            0.018394,            0.053435,            0.001915,             0.81604,             0.82831,             0.85936,             0.64487,            0.025408,            0.048589,           0.0063818,            0.004852,            0.004852,            0.004852
                  54,            0.018319,            0.053698,           0.0019326,             0.84545,             0.85057,             0.87704,             0.65503,            0.025413,            0.048779,           0.0054062,            0.004753,            0.004753,            0.004753
                  55,            0.018298,            0.053214,           0.0018655,             0.84619,             0.82632,             0.86296,             0.64369,            0.025641,            0.048481,            0.006213,            0.004654,            0.004654,            0.004654
                  56,             0.01793,             0.05235,           0.0017688,             0.83613,             0.87851,             0.88554,             0.66446,            0.025698,            0.049539,           0.0058211,            0.004555,            0.004555,            0.004555
                  57,            0.018135,            0.053442,           0.0015566,             0.82932,             0.80684,             0.86381,             0.64441,            0.025299,            0.048538,           0.0068838,            0.004456,            0.004456,            0.004456
                  58,            0.017936,            0.052923,           0.0016234,             0.82702,             0.85653,             0.85984,             0.64737,            0.025121,            0.048695,           0.0058266,            0.004357,            0.004357,            0.004357
                  59,            0.017893,            0.050777,           0.0016295,             0.80738,             0.88117,             0.87317,             0.65508,            0.025526,            0.049718,           0.0062988,            0.004258,            0.004258,            0.004258
                  60,            0.017557,            0.053124,           0.0016061,             0.84279,             0.87465,             0.88233,             0.66039,            0.025536,            0.048688,            0.006042,            0.004159,            0.004159,            0.004159
                  61,            0.017739,            0.052475,           0.0015706,             0.81931,             0.85267,             0.87356,             0.64973,            0.025834,            0.050374,           0.0060964,             0.00406,             0.00406,             0.00406
                  62,            0.017801,            0.053005,           0.0014673,             0.86157,              0.8417,             0.89297,             0.67555,            0.025174,            0.048571,           0.0056819,            0.003961,            0.003961,            0.003961
